,Unnamed: 0,steam_appid,name,english,publisher,platforms,genres,average_playtime,median_playtime,owners,price,grade,month,year,economic_success,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent
0,19,440,Team Fortress 2,1.0,Valve,windows,Action;Free to Play,8495.0,623.0,20.0,0.0,0.9381067983233772,10.0,2007.0,0.0,2007,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,21,550,Left 4 Dead 2,1.0,Valve,windows,Action,1615.0,566.0,10.0,7.19,0.9676488334287702,11.0,2009.0,107.85,2009,11,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2,27,1200,Red Orchestra: Ostfront 41-45,1.0,Tripwire Interactive,windows,Action,232.0,258.0,0.5,3.99,0.8750700280112045,3.0,2006.0,2.9925,2006,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3,28,1250,Killing Floor,1.0,Tripwire Interactive,windows,Action,1328.0,306.0,2.0,14.99,0.9529977465888324,5.0,2009.0,52.465,2009,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
4,73,2820,X3: Terran Conflict,1.0,Egosoft,windows,Action;Simulation;Strategy,972.0,1273.0,0.5,15.99,0.8572178477690289,10.0,2008.0,11.9925,2008,10,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
5,76,2870,X Rebirth,1.0,Egosoft,windows,Action;Simulation,1744.0,3386.0,0.2,24.99,0.4125874125874126,11.0,2013.0,8.7465,2013,11,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
6,83,3050,Xpand Rally Xtreme,1.0,Techland,windows,Racing,0.0,0.0,0.02,3.99,0.6635514018691588,10.0,2008.0,0.13965,2008,10,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
8,98,3540,Peggle™ Nights,1.0,"PopCap Games, Inc.",windows,Casual,237.0,237.0,0.2,4.25,0.9387755102040816,10.0,2008.0,1.4875,2008,10,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
9,113,3830,Psychonauts,1.0,Double Fine Productions,windows,Action,491.0,232.0,2.0,6.99,0.9473441108545034,10.0,2006.0,24.465,2006,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
11,120,4000,Garry's Mod,1.0,Valve,windows,Indie;Simulation,12422.0,1875.0,10.0,6.99,0.956772781556948,11.0,2006.0,104.85,2006,11,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
12,128,4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,1.0,GSC Game World,windows,Action;RPG,493.0,360.0,1.0,9.99,0.9509001636661212,3.0,2007.0,14.985,2007,3,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0
13,131,4560,Company of Heroes - Legacy Edition,1.0,SEGA,windows,Violent;Action;Strategy,175.0,186.0,2.0,0.0,0.9371563236449332,7.0,2007.0,0.0,2007,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
14,145,4920,Natural Selection 2,1.0,Unknown Worlds Entertainment,windows,Action;Indie;Strategy,627.0,253.0,1.0,6.99,0.8482269503546099,10.0,2012.0,10.485,2012,10,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
15,164,6420,Nexus - The Jupiter Incident,1.0,HandyGames,windows,Indie;Simulation;Strategy,0.0,0.0,0.05,6.99,0.8404255319148937,7.0,2007.0,0.52425,2007,7,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
16,187,7510,X-Blades,1.0,Topware Interactive,windows,Nudity;Violent;Action;Adventure;RPG,313.0,341.0,0.5,6.99,0.6148409893992933,4.0,2009.0,5.2425,2009,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
17,188,7520,Two Worlds II HD,1.0,"Topware Interactive, ACE",windows,Nudity;Violent;RPG,327.0,403.0,0.5,14.99,0.5982370225269343,2.0,2011.0,11.2425,2011,2,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
20,199,7840,Death Track®: Resurrection,1.0,1C Entertainment,windows,Racing,0.0,0.0,0.02,1.99,0.4047619047619048,5.0,2009.0,0.06965,2009,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
21,200,7860,NecroVision,1.0,1C Entertainment,windows,Action,113.0,113.0,0.1,3.99,0.6662546353522868,5.0,2009.0,0.5985,2009,5,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
22,215,8790,GTR 2 FIA GT Racing Game,1.0,SimBin,windows,Racing;Simulation;Sports,0.0,0.0,0.05,4.99,0.9157894736842104,12.0,2012.0,0.37425,2012,12,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0
27,237,9480,Saints Row 2,1.0,Deep Silver,windows,Action,322.0,81.0,2.0,9.99,0.766209526900917,1.0,2009.0,34.965,2009,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
28,243,9880,Champions Online,1.0,Perfect World Entertainment,windows,Free to Play;Massively Multiplayer;RPG,12952.0,724.0,1.0,0.0,0.7165977961432507,6.0,2011.0,0.0,2011,6,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
29,244,9900,Star Trek Online,1.0,Perfect World Entertainment,windows,Free to Play;Massively Multiplayer;RPG,2514.0,638.0,1.0,0.0,0.7616151545363908,1.0,2012.0,0.0,2012,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
30,245,9940,Blade Kitten,1.0,Krome Studios,windows,Action;Adventure,222.0,360.0,0.05,1.99,0.8335195530726257,5.0,2014.0,0.14925,2014,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
31,250,10100,King's Quest™ Collection,1.0,Activision,windows,Adventure,10.0,19.0,0.1,14.99,0.7961783439490446,7.0,2009.0,2.2485,2009,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
32,251,10110,Space Quest™ Collection,1.0,Activision,windows,Adventure,10.0,10.0,0.1,9.99,0.772972972972973,7.0,2009.0,1.4985,2009,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
33,267,11040,Sherlock Holmes - Nemesis,1.0,Frogwares,windows,Adventure;RPG,0.0,0.0,0.1,6.99,0.7261146496815286,8.0,2008.0,1.0485,2008,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
34,268,11050,Dracula Origin,1.0,Frogwares,windows,Adventure,0.0,0.0,0.02,6.99,0.6762589928057554,8.0,2008.0,0.24465,2008,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35,275,11240,Space Trader: Merchant Marine,1.0,Meridian4,windows,Action;Indie;Strategy,15.0,15.0,0.2,3.99,0.4909688013136289,10.0,2008.0,1.3965,2008,10,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
37,285,11590,Hospital Tycoon,1.0,Codemasters,windows,Simulation,119.0,176.0,0.2,3.49,0.36764705882352944,2.0,2009.0,1.2215,2009,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
38,288,12120,Grand Theft Auto: San Andreas,1.0,Rockstar Games,windows,Action,807.0,249.0,2.0,9.99,0.8923306772908367,1.0,2008.0,34.965,2008,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
39,297,12320,Sacred Gold,1.0,Strategy First,windows,Action;RPG,337.0,404.0,0.2,6.99,0.8235619469026548,7.0,2008.0,2.4465,2008,7,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
40,299,12340,Jack Keane,1.0,Deck13,windows,Adventure,0.0,0.0,0.02,6.99,0.6301369863013698,6.0,2008.0,0.24465,2008,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
42,318,12640,Drakensang,1.0,DTP Entertainment,windows,RPG,0.0,0.0,0.1,6.99,0.7677419354838709,3.0,2009.0,1.0485,2009,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
43,321,12770,Rise of the Argonauts,1.0,Codemasters,windows,RPG,88.0,147.0,0.2,4.99,0.6721915285451197,1.0,2009.0,1.7465,2009,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44,322,12790,Damnation,1.0,Codemasters,windows,Action;Adventure,0.0,0.0,0.05,6.99,0.4203821656050956,5.0,2009.0,0.52425,2009,5,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
45,326,13140,America's Army 3,1.0,U.S. Army,windows,Action,12.0,13.0,0.5,0.0,0.6769436997319035,6.0,2009.0,0.0,2009,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
46,336,13560,Tom Clancy's Splinter Cell®,1.0,Ubisoft,windows,Action,28.0,28.0,0.2,4.29,0.8595988538681948,4.0,2008.0,1.5015,2008,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
49,390,16720,Velvet Assassin,1.0,Missing Link Games,windows,Action,9.0,10.0,0.2,1.69,0.5943442223305705,5.0,2009.0,0.5915,2009,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
