,appid,name,publisher,genres,owners,price,economic_success,total_ratings,rating_ratio,rating,release_year,release_month,local_multi_player,mmo,multi_player,online_co_op,online_multi_player,single_player,action,adventure,casual,indie,massively_multiplayer,rpg,racing,simulation,sports,strategyviolent,type
0,340,Half-Life 2: Lost Coast,Valve,Action,14.508657738524219,0.0,0.0,7484,0.8567610903260289,82.75477110594616,2005,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Free
1,440,Team Fortress 2,Valve,Action;Free to Play,17.72753356339242,0.0,0.0,625127,0.9406408617768869,93.2175737533884,2007,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Free
2,570,Dota 2,Valve,Action;Free to Play;Strategy,18.420680743952367,0.0,0.0,1192192,0.8540335784840026,84.77053468137579,2013,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Free
3,630,Alien Swarm,Valve,Action,13.815510557964274,0.0,0.0,18920,0.9485200845665962,92.40560503154278,2010,7,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Free
4,730,Counter-Strike: Global Offensive,Valve,Action;Free to Play,16.811242831518264,0.0,0.0,3766232,0.8750371724312257,87.0450991378021,2012,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Free
6,3483,Peggle Extreme,"PopCap Games, Inc.",Casual,12.206072645530174,0.0,0.0,852,0.9295774647887324,86.86305091553646,2007,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Free
8,6370,Bloodline Champions,Stunlock Studios,Action;Free to Play;Massively Multiplayer,13.122363377404328,0.0,0.0,1608,0.8588308457711443,81.23142326217018,2011,10,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Free
9,8310,Bone: Out From Boneville,Telltale Games,Adventure,9.903487552536127,0.0,0.0,158,0.5253164556962026,46.82074705033564,2008,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Free
10,8320,Bone: The Great Cow Race,Telltale Games,Adventure,10.819778284410283,0.0,0.0,87,0.5862068965517241,51.005629867271416,2008,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Free
11,8500,EVE Online,CCP,Action;Free to Play;Massively Multiplayer;RPG;Strategy,14.508657738524219,0.0,0.0,14886,0.7619911326078195,74.08669558926024,2010,12,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,Free
12,9880,Champions Online,Perfect World Entertainment,Free to Play;Massively Multiplayer;RPG,13.815510557964274,0.0,0.0,3134,0.7096362476068921,67.81925636821197,2011,6,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Free
13,9900,Star Trek Online,Perfect World Entertainment,Free to Play;Massively Multiplayer;RPG,14.508657738524219,0.0,0.0,11257,0.7674335968730568,74.4291673488665,2012,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,Free
14,11020,TrackMania Nations Forever,Ubisoft,Racing,14.508657738524219,0.0,0.0,10751,0.870523672216538,84.39071446203036,2008,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,Free
